state,county,gender,age,deaths,pop
California,"Alameda County, CA",Female,0,24,42926
California,"Alameda County, CA",Female,5,0,44868
California,"Alameda County, CA",Female,10,0,46124
California,"Alameda County, CA",Female,15,14,45468
California,"Alameda County, CA",Female,20,10,43966
California,"Alameda County, CA",Female,25,29,57705
California,"Alameda County, CA",Female,30,36,71279
California,"Alameda County, CA",Female,35,55,67697
California,"Alameda County, CA",Female,40,71,60492
California,"Alameda County, CA",Female,45,101,55245
California,"Alameda County, CA",Female,50,116,53622
California,"Alameda County, CA",Female,55,181,52402
California,"Alameda County, CA",Female,60,273,49230
California,"Alameda County, CA",Female,65,401,42685
California,"Alameda County, CA",Female,70,497,36023
California,"Alameda County, CA",Female,75,554,23490
California,"Alameda County, CA",Female,80,700,15656
California,"Alameda County, CA",Female,85,807,18774
California,"Alameda County, CA",Male,0,32,44549
California,"Alameda County, CA",Male,5,0,47440
California,"Alameda County, CA",Male,10,0,48486
California,"Alameda County, CA",Male,15,26,47081
California,"Alameda County, CA",Male,20,63,44015
California,"Alameda County, CA",Male,25,77,58123
California,"Alameda County, CA",Male,30,99,72148
California,"Alameda County, CA",Male,35,139,70270
California,"Alameda County, CA",Male,40,143,62319
California,"Alameda County, CA",Male,45,155,56373
California,"Alameda County, CA",Male,50,231,55483
California,"Alameda County, CA",Male,55,319,52496
California,"Alameda County, CA",Male,60,482,47879
California,"Alameda County, CA",Male,65,549,38781
California,"Alameda County, CA",Male,70,668,30186
California,"Alameda County, CA",Male,75,714,18693
California,"Alameda County, CA",Male,80,696,11529
California,"Alameda County, CA",Male,85,648,10544
California,"Alpine County, CA",Female,0,0,28
California,"Alpine County, CA",Female,5,0,23
California,"Alpine County, CA",Female,10,0,33
California,"Alpine County, CA",Female,15,0,35
California,"Alpine County, CA",Female,20,0,21
California,"Alpine County, CA",Female,25,0,37
California,"Alpine County, CA",Female,30,0,21
California,"Alpine County, CA",Female,35,0,32
California,"Alpine County, CA",Female,40,0,23
California,"Alpine County, CA",Female,45,0,38
California,"Alpine County, CA",Female,50,0,39
California,"Alpine County, CA",Female,55,0,35
California,"Alpine County, CA",Female,60,0,53
California,"Alpine County, CA",Female,65,0,47
California,"Alpine County, CA",Female,70,0,51
California,"Alpine County, CA",Female,75,0,24
California,"Alpine County, CA",Female,80,0,8
California,"Alpine County, CA",Female,85,0,16
California,"Alpine County, CA",Male,0,0,23
California,"Alpine County, CA",Male,5,0,19
California,"Alpine County, CA",Male,10,0,33
California,"Alpine County, CA",Male,15,0,50
California,"Alpine County, CA",Male,20,0,26
California,"Alpine County, CA",Male,25,0,39
California,"Alpine County, CA",Male,30,0,41
California,"Alpine County, CA",Male,35,0,31
California,"Alpine County, CA",Male,40,0,30
California,"Alpine County, CA",Male,45,0,38
California,"Alpine County, CA",Male,50,0,46
California,"Alpine County, CA",Male,55,0,54
California,"Alpine County, CA",Male,60,0,65
California,"Alpine County, CA",Male,65,0,70
California,"Alpine County, CA",Male,70,0,52
California,"Alpine County, CA",Male,75,0,27
California,"Alpine County, CA",Male,80,0,9
California,"Alpine County, CA",Male,85,0,12
California,"Amador County, CA",Female,0,0,795
California,"Amador County, CA",Female,5,0,842
California,"Amador County, CA",Female,10,0,866
California,"Amador County, CA",Female,15,0,831
California,"Amador County, CA",Female,20,0,679
California,"Amador County, CA",Female,25,0,854
California,"Amador County, CA",Female,30,0,1007
California,"Amador County, CA",Female,35,0,988
California,"Amador County, CA",Female,40,0,905
California,"Amador County, CA",Female,45,0,875
California,"Amador County, CA",Female,50,0,1101
California,"Amador County, CA",Female,55,0,1427
California,"Amador County, CA",Female,60,17,1718
California,"Amador County, CA",Female,65,24,1803
California,"Amador County, CA",Female,70,28,1765
California,"Amador County, CA",Female,75,36,1100
California,"Amador County, CA",Female,80,31,638
California,"Amador County, CA",Female,85,31,582
California,"Amador County, CA",Male,0,0,848
California,"Amador County, CA",Male,5,0,934
California,"Amador County, CA",Male,10,0,910
California,"Amador County, CA",Male,15,0,947
California,"Amador County, CA",Male,20,0,876
California,"Amador County, CA",Male,25,0,1250
California,"Amador County, CA",Male,30,0,1492
California,"Amador County, CA",Male,35,0,1546
California,"Amador County, CA",Male,40,0,1740
California,"Amador County, CA",Male,45,0,1541
California,"Amador County, CA",Male,50,10,1539
California,"Amador County, CA",Male,55,19,1617
California,"Amador County, CA",Male,60,31,1764
California,"Amador County, CA",Male,65,27,1759
California,"Amador County, CA",Male,70,52,1595
California,"Amador County, CA",Male,75,50,1065
California,"Amador County, CA",Male,80,45,595
California,"Amador County, CA",Male,85,30,434
California,"Butte County, CA",Female,0,0,5372
California,"Butte County, CA",Female,5,0,5733
California,"Butte County, CA",Female,10,0,5949
California,"Butte County, CA",Female,15,0,6559
California,"Butte County, CA",Female,20,0,11226
California,"Butte County, CA",Female,25,0,6808
California,"Butte County, CA",Female,30,0,6325
California,"Butte County, CA",Female,35,0,6218
California,"Butte County, CA",Female,40,14,5775
California,"Butte County, CA",Female,45,19,5127
California,"Butte County, CA",Female,50,28,5456
California,"Butte County, CA",Female,55,42,6080
California,"Butte County, CA",Female,60,64,6573
California,"Butte County, CA",Female,65,74,6437
California,"Butte County, CA",Female,70,139,5585
California,"Butte County, CA",Female,75,146,3536
California,"Butte County, CA",Female,80,149,2278
California,"Butte County, CA",Female,85,172,2601
California,"Butte County, CA",Male,0,0,5641
California,"Butte County, CA",Male,5,0,6109
California,"Butte County, CA",Male,10,0,6337
California,"Butte County, CA",Male,15,0,6535
California,"Butte County, CA",Male,20,12,11464
California,"Butte County, CA",Male,25,14,7292
California,"Butte County, CA",Male,30,22,6863
California,"Butte County, CA",Male,35,20,6479
California,"Butte County, CA",Male,40,28,6243
California,"Butte County, CA",Male,45,31,5266
California,"Butte County, CA",Male,50,34,5530
California,"Butte County, CA",Male,55,77,5605
California,"Butte County, CA",Male,60,132,6203
California,"Butte County, CA",Male,65,150,5810
California,"Butte County, CA",Male,70,167,5110
California,"Butte County, CA",Male,75,170,3002
California,"Butte County, CA",Male,80,148,1773
California,"Butte County, CA",Male,85,130,1436
California,"Calaveras County, CA",Female,0,0,965
California,"Calaveras County, CA",Female,5,0,1046
California,"Calaveras County, CA",Female,10,0,1146
California,"Calaveras County, CA",Female,15,0,1040
California,"Calaveras County, CA",Female,20,0,878
California,"Calaveras County, CA",Female,25,0,1029
California,"Calaveras County, CA",Female,30,0,1218
California,"Calaveras County, CA",Female,35,0,1209
California,"Calaveras County, CA",Female,40,0,1155
California,"Calaveras County, CA",Female,45,0,1037
California,"Calaveras County, CA",Female,50,0,1470
California,"Calaveras County, CA",Female,55,10,1784
California,"Calaveras County, CA",Female,60,13,2261
California,"Calaveras County, CA",Female,65,21,2242
California,"Calaveras County, CA",Female,70,37,1917
California,"Calaveras County, CA",Female,75,36,1252
California,"Calaveras County, CA",Female,80,41,753
California,"Calaveras County, CA",Female,85,38,669
California,"Calaveras County, CA",Male,0,0,1118
California,"Calaveras County, CA",Male,5,0,1133
California,"Calaveras County, CA",Male,10,0,1132
California,"Calaveras County, CA",Male,15,0,1170
California,"Calaveras County, CA",Male,20,0,967
California,"Calaveras County, CA",Male,25,0,1100
California,"Calaveras County, CA",Male,30,0,1174
California,"Calaveras County, CA",Male,35,0,1327
California,"Calaveras County, CA",Male,40,0,1273
California,"Calaveras County, CA",Male,45,0,1139
California,"Calaveras County, CA",Male,50,15,1396
California,"Calaveras County, CA",Male,55,19,1712
California,"Calaveras County, CA",Male,60,36,2126
California,"Calaveras County, CA",Male,65,37,2010
California,"Calaveras County, CA",Male,70,53,1922
California,"Calaveras County, CA",Male,75,47,1252
California,"Calaveras County, CA",Male,80,32,719
California,"Calaveras County, CA",Male,85,43,508
California,"Colusa County, CA",Female,0,0,698
California,"Colusa County, CA",Female,5,0,812
California,"Colusa County, CA",Female,10,0,851
California,"Colusa County, CA",Female,15,0,779
California,"Colusa County, CA",Female,20,0,696
California,"Colusa County, CA",Female,25,0,721
California,"Colusa County, CA",Female,30,0,642
California,"Colusa County, CA",Female,35,0,764
California,"Colusa County, CA",Female,40,0,661
California,"Colusa County, CA",Female,45,0,605
California,"Colusa County, CA",Female,50,0,626
California,"Colusa County, CA",Female,55,0,575
California,"Colusa County, CA",Female,60,0,634
California,"Colusa County, CA",Female,65,0,534
California,"Colusa County, CA",Female,70,0,457
California,"Colusa County, CA",Female,75,0,297
California,"Colusa County, CA",Female,80,12,196
California,"Colusa County, CA",Female,85,19,191
California,"Colusa County, CA",Male,0,0,733
California,"Colusa County, CA",Male,5,0,813
California,"Colusa County, CA",Male,10,0,946
California,"Colusa County, CA",Male,15,0,883
California,"Colusa County, CA",Male,20,0,692
California,"Colusa County, CA",Male,25,0,713
California,"Colusa County, CA",Male,30,0,770
California,"Colusa County, CA",Male,35,0,769
California,"Colusa County, CA",Male,40,0,673
California,"Colusa County, CA",Male,45,0,598
California,"Colusa County, CA",Male,50,0,652
California,"Colusa County, CA",Male,55,0,644
California,"Colusa County, CA",Male,60,0,662
California,"Colusa County, CA",Male,65,15,566
California,"Colusa County, CA",Male,70,13,453
California,"Colusa County, CA",Male,75,10,290
California,"Colusa County, CA",Male,80,15,189
California,"Colusa County, CA",Male,85,0,134
California,"Contra Costa County, CA",Female,0,16,30508
California,"Contra Costa County, CA",Female,5,0,34471
California,"Contra Costa County, CA",Female,10,0,37951
California,"Contra Costa County, CA",Female,15,11,36851
California,"Contra Costa County, CA",Female,20,10,32293
California,"Contra Costa County, CA",Female,25,21,33752
California,"Contra Costa County, CA",Female,30,28,37962
California,"Contra Costa County, CA",Female,35,39,41247
California,"Contra Costa County, CA",Female,40,57,41240
California,"Contra Costa County, CA",Female,45,46,39434
California,"Contra Costa County, CA",Female,50,96,40451
California,"Contra Costa County, CA",Female,55,164,40420
California,"Contra Costa County, CA",Female,60,219,37687
California,"Contra Costa County, CA",Female,65,292,33103
California,"Contra Costa County, CA",Female,70,383,28567
California,"Contra Costa County, CA",Female,75,503,19583
California,"Contra Costa County, CA",Female,80,573,12375
California,"Contra Costa County, CA",Female,85,652,13551
California,"Contra Costa County, CA",Male,0,19,31723
California,"Contra Costa County, CA",Male,5,0,35744
California,"Contra Costa County, CA",Male,10,0,39476
California,"Contra Costa County, CA",Male,15,24,38568
California,"Contra Costa County, CA",Male,20,28,33284
California,"Contra Costa County, CA",Male,25,61,34665
California,"Contra Costa County, CA",Male,30,80,37628
California,"Contra Costa County, CA",Male,35,81,40697
California,"Contra Costa County, CA",Male,40,114,40304
California,"Contra Costa County, CA",Male,45,111,38320
California,"Contra Costa County, CA",Male,50,152,40247
California,"Contra Costa County, CA",Male,55,230,39530
California,"Contra Costa County, CA",Male,60,322,35974
California,"Contra Costa County, CA",Male,65,433,29430
California,"Contra Costa County, CA",Male,70,481,23893
California,"Contra Costa County, CA",Male,75,592,15549
California,"Contra Costa County, CA",Male,80,589,9533
California,"Contra Costa County, CA",Male,85,568,7930
California,"Del Norte County, CA",Female,0,0,676
California,"Del Norte County, CA",Female,5,0,815
California,"Del Norte County, CA",Female,10,0,857
California,"Del Norte County, CA",Female,15,0,691
California,"Del Norte County, CA",Female,20,0,605
California,"Del Norte County, CA",Female,25,0,662
California,"Del Norte County, CA",Female,30,0,708
California,"Del Norte County, CA",Female,35,0,815
California,"Del Norte County, CA",Female,40,0,770
California,"Del Norte County, CA",Female,45,0,650
California,"Del Norte County, CA",Female,50,0,681
California,"Del Norte County, CA",Female,55,0,900
California,"Del Norte County, CA",Female,60,11,1027
California,"Del Norte County, CA",Female,65,15,984
California,"Del Norte County, CA",Female,70,24,762
California,"Del Norte County, CA",Female,75,19,474
California,"Del Norte County, CA",Female,80,19,317
California,"Del Norte County, CA",Female,85,13,308
California,"Del Norte County, CA",Male,0,0,728
California,"Del Norte County, CA",Male,5,0,854
California,"Del Norte County, CA",Male,10,0,903
California,"Del Norte County, CA",Male,15,0,796
California,"Del Norte County, CA",Male,20,0,861
California,"Del Norte County, CA",Male,25,0,1096
California,"Del Norte County, CA",Male,30,0,1204
California,"Del Norte County, CA",Male,35,0,1252
California,"Del Norte County, CA",Male,40,0,1089
California,"Del Norte County, CA",Male,45,0,863
California,"Del Norte County, CA",Male,50,0,818
California,"Del Norte County, CA",Male,55,18,894
California,"Del Norte County, CA",Male,60,16,975
California,"Del Norte County, CA",Male,65,25,908
California,"Del Norte County, CA",Male,70,32,781
California,"Del Norte County, CA",Male,75,32,415
California,"Del Norte County, CA",Male,80,19,251
California,"Del Norte County, CA",Male,85,25,194
California,"El Dorado County, CA",Female,0,0,4247
California,"El Dorado County, CA",Female,5,0,5016
California,"El Dorado County, CA",Female,10,0,5733
California,"El Dorado County, CA",Female,15,0,5431
California,"El Dorado County, CA",Female,20,0,4463
California,"El Dorado County, CA",Female,25,0,4485
California,"El Dorado County, CA",Female,30,0,5200
California,"El Dorado County, CA",Female,35,0,5845
California,"El Dorado County, CA",Female,40,0,5922
California,"El Dorado County, CA",Female,45,11,5422
California,"El Dorado County, CA",Female,50,21,6430
California,"El Dorado County, CA",Female,55,16,7477
California,"El Dorado County, CA",Female,60,43,8485
