pop_name,year,gender,age,mx
AK,1960-1964,Female,0,0.016035
AK,1960-1964,Female,5,7.6e-4
AK,1960-1964,Female,10,5.6e-4
AK,1960-1964,Female,15,6.2e-4
AK,1960-1964,Female,20,0.00123
AK,1960-1964,Female,25,0.0012
AK,1960-1964,Female,30,0.00184
AK,1960-1964,Female,35,0.00224
AK,1960-1964,Female,40,0.00367
AK,1960-1964,Female,45,0.00436
AK,1960-1964,Female,50,0.00627
AK,1960-1964,Female,55,0.00956
AK,1960-1964,Female,60,0.01469
AK,1960-1964,Female,65,0.02259
AK,1960-1964,Female,70,0.03679
AK,1960-1964,Female,75,0.05898
AK,1960-1964,Female,80,0.11111
AK,1960-1964,Female,85,0.13113
AK,1960-1964,Female,90,0.1541
AK,1960-1964,Female,95,0.18023
AK,1960-1964,Male,0,0.02167
AK,1960-1964,Male,5,8.4e-4
AK,1960-1964,Male,10,9.5e-4
AK,1960-1964,Male,15,0.00145
AK,1960-1964,Male,20,0.00208
AK,1960-1964,Male,25,0.00258
AK,1960-1964,Male,30,0.00296
AK,1960-1964,Male,35,0.00422
AK,1960-1964,Male,40,0.00551
AK,1960-1964,Male,45,0.0076
AK,1960-1964,Male,50,0.01155
AK,1960-1964,Male,55,0.01737
AK,1960-1964,Male,60,0.0267
AK,1960-1964,Male,65,0.04243
AK,1960-1964,Male,70,0.05621
AK,1960-1964,Male,75,0.0925
AK,1960-1964,Male,80,0.14138
AK,1960-1964,Male,85,0.16942
AK,1960-1964,Male,90,0.20166
AK,1960-1964,Male,95,0.23821
AK,1965-1969,Female,0,0.013059999999999999
AK,1965-1969,Female,5,6.5e-4
AK,1965-1969,Female,10,3.3e-4
AK,1965-1969,Female,15,7.6e-4
AK,1965-1969,Female,20,0.00107
AK,1965-1969,Female,25,0.0011
AK,1965-1969,Female,30,0.00157
AK,1965-1969,Female,35,0.00208
AK,1965-1969,Female,40,0.00303
AK,1965-1969,Female,45,0.00503
AK,1965-1969,Female,50,0.00623
AK,1965-1969,Female,55,0.00863
AK,1965-1969,Female,60,0.0122
AK,1965-1969,Female,65,0.01999
AK,1965-1969,Female,70,0.03273
AK,1965-1969,Female,75,0.05399
AK,1965-1969,Female,80,0.09262
AK,1965-1969,Female,85,0.11318
AK,1965-1969,Female,90,0.13755
AK,1965-1969,Female,95,0.16615
AK,1965-1969,Male,0,0.016655
AK,1965-1969,Male,5,6.9e-4
AK,1965-1969,Male,10,7.4e-4
AK,1965-1969,Male,15,0.00146
AK,1965-1969,Male,20,0.0029
AK,1965-1969,Male,25,0.00277
AK,1965-1969,Male,30,0.00288
AK,1965-1969,Male,35,0.00363
AK,1965-1969,Male,40,0.0053
AK,1965-1969,Male,45,0.00779
AK,1965-1969,Male,50,0.01253
AK,1965-1969,Male,55,0.01624
AK,1965-1969,Male,60,0.02487
AK,1965-1969,Male,65,0.03575
AK,1965-1969,Male,70,0.05466
AK,1965-1969,Male,75,0.07826
AK,1965-1969,Male,80,0.13648
AK,1965-1969,Male,85,0.16962
AK,1965-1969,Male,90,0.20876
AK,1965-1969,Male,95,0.25405
AK,1970-1974,Female,0,0.008985
AK,1970-1974,Female,5,4.9e-4
AK,1970-1974,Female,10,4.8e-4
AK,1970-1974,Female,15,0.00108
AK,1970-1974,Female,20,0.0011
AK,1970-1974,Female,25,9.7e-4
AK,1970-1974,Female,30,0.0013
AK,1970-1974,Female,35,0.00207
AK,1970-1974,Female,40,0.00313
AK,1970-1974,Female,45,0.00431
AK,1970-1974,Female,50,0.00627
AK,1970-1974,Female,55,0.00934
AK,1970-1974,Female,60,0.01335
AK,1970-1974,Female,65,0.01936
AK,1970-1974,Female,70,0.03006
AK,1970-1974,Female,75,0.05418
AK,1970-1974,Female,80,0.08043
AK,1970-1974,Female,85,0.11128
AK,1970-1974,Female,90,0.1518
AK,1970-1974,Female,95,0.20343
AK,1970-1974,Male,0,0.011944999999999999
AK,1970-1974,Male,5,6.3e-4
AK,1970-1974,Male,10,7.4e-4
AK,1970-1974,Male,15,0.00267
AK,1970-1974,Male,20,0.00295
AK,1970-1974,Male,25,0.00317
AK,1970-1974,Male,30,0.00252
AK,1970-1974,Male,35,0.00369
AK,1970-1974,Male,40,0.00545
AK,1970-1974,Male,45,0.00764
AK,1970-1974,Male,50,0.01043
AK,1970-1974,Male,55,0.01536
AK,1970-1974,Male,60,0.02707
AK,1970-1974,Male,65,0.03878
AK,1970-1974,Male,70,0.05394
AK,1970-1974,Male,75,0.07969
AK,1970-1974,Male,80,0.12018
AK,1970-1974,Male,85,0.16783
AK,1970-1974,Male,90,0.22906
AK,1970-1974,Male,95,0.30404
AK,1975-1979,Female,0,0.007145
AK,1975-1979,Female,5,2.9e-4
AK,1975-1979,Female,10,4.2e-4
AK,1975-1979,Female,15,9.6e-4
AK,1975-1979,Female,20,0.00129
AK,1975-1979,Female,25,8.1e-4
AK,1975-1979,Female,30,0.00118
AK,1975-1979,Female,35,0.00114
AK,1975-1979,Female,40,0.00274
AK,1975-1979,Female,45,0.00378
AK,1975-1979,Female,50,0.00583
AK,1975-1979,Female,55,0.00805
AK,1975-1979,Female,60,0.01141
AK,1975-1979,Female,65,0.01843
AK,1975-1979,Female,70,0.02498
AK,1975-1979,Female,75,0.04622
AK,1975-1979,Female,80,0.06775
AK,1975-1979,Female,85,0.10076
AK,1975-1979,Female,90,0.14699
AK,1975-1979,Female,95,0.209
AK,1975-1979,Male,0,0.009385
AK,1975-1979,Male,5,5.3e-4
AK,1975-1979,Male,10,6.1e-4
AK,1975-1979,Male,15,0.00263
AK,1975-1979,Male,20,0.00352
AK,1975-1979,Male,25,0.00315
AK,1975-1979,Male,30,0.00272
AK,1975-1979,Male,35,0.00318
AK,1975-1979,Male,40,0.0046
AK,1975-1979,Male,45,0.00656
AK,1975-1979,Male,50,0.00995
AK,1975-1979,Male,55,0.0137
AK,1975-1979,Male,60,0.0196
AK,1975-1979,Male,65,0.03058
AK,1975-1979,Male,70,0.05149
AK,1975-1979,Male,75,0.07043
AK,1975-1979,Male,80,0.10745
AK,1975-1979,Male,85,0.14193
AK,1975-1979,Male,90,0.18501
AK,1975-1979,Male,95,0.23734
AK,1980-1984,Female,0,0.005575
AK,1980-1984,Female,5,2.9e-4
AK,1980-1984,Female,10,3.2e-4
AK,1980-1984,Female,15,8.2e-4
AK,1980-1984,Female,20,0.00109
AK,1980-1984,Female,25,9.7e-4
AK,1980-1984,Female,30,8.7e-4
AK,1980-1984,Female,35,0.00114
AK,1980-1984,Female,40,0.00191
AK,1980-1984,Female,45,0.00297
AK,1980-1984,Female,50,0.00491
AK,1980-1984,Female,55,0.00752
AK,1980-1984,Female,60,0.01083
AK,1980-1984,Female,65,0.01881
AK,1980-1984,Female,70,0.02889
AK,1980-1984,Female,75,0.03875
AK,1980-1984,Female,80,0.067
AK,1980-1984,Female,85,0.10052
AK,1980-1984,Female,90,0.1478
AK,1980-1984,Female,95,0.21156
AK,1980-1984,Male,0,0.007265
AK,1980-1984,Male,5,4.2e-4
AK,1980-1984,Male,10,5.1e-4
AK,1980-1984,Male,15,0.0021
AK,1980-1984,Male,20,0.00351
AK,1980-1984,Male,25,0.00273
AK,1980-1984,Male,30,0.00251
AK,1980-1984,Male,35,0.00269
AK,1980-1984,Male,40,0.00354
AK,1980-1984,Male,45,0.00518
AK,1980-1984,Male,50,0.00789
AK,1980-1984,Male,55,0.01268
AK,1980-1984,Male,60,0.01921
AK,1980-1984,Male,65,0.03156
AK,1980-1984,Male,70,0.04867
AK,1980-1984,Male,75,0.07741
AK,1980-1984,Male,80,0.10193
AK,1980-1984,Male,85,0.15281
AK,1980-1984,Male,90,0.22216
AK,1980-1984,Male,95,0.31069
AK,1985-1989,Female,0,0.00435
AK,1985-1989,Female,5,3.1e-4
AK,1985-1989,Female,10,2.4e-4
AK,1985-1989,Female,15,7.8e-4
AK,1985-1989,Female,20,8e-4
AK,1985-1989,Female,25,8.5e-4
AK,1985-1989,Female,30,8.2e-4
AK,1985-1989,Female,35,0.00114
AK,1985-1989,Female,40,0.00145
AK,1985-1989,Female,45,0.00255
AK,1985-1989,Female,50,0.00424
AK,1985-1989,Female,55,0.00637
AK,1985-1989,Female,60,0.00915
AK,1985-1989,Female,65,0.0183
AK,1985-1989,Female,70,0.03073
AK,1985-1989,Female,75,0.04387
AK,1985-1989,Female,80,0.06362
AK,1985-1989,Female,85,0.10784
AK,1985-1989,Female,90,0.17604
AK,1985-1989,Female,95,0.27272
AK,1985-1989,Male,0,0.00654
AK,1985-1989,Male,5,4.3e-4
AK,1985-1989,Male,10,5.7e-4
AK,1985-1989,Male,15,0.0019
AK,1985-1989,Male,20,0.0027
AK,1985-1989,Male,25,0.00271
AK,1985-1989,Male,30,0.00236
AK,1985-1989,Male,35,0.0026
AK,1985-1989,Male,40,0.0029
AK,1985-1989,Male,45,0.00408
AK,1985-1989,Male,50,0.00699
AK,1985-1989,Male,55,0.01106
AK,1985-1989,Male,60,0.01623
AK,1985-1989,Male,65,0.02896
AK,1985-1989,Male,70,0.051090000000000003
AK,1985-1989,Male,75,0.068
AK,1985-1989,Male,80,0.10069
AK,1985-1989,Male,85,0.14933
AK,1985-1989,Male,90,0.21527
AK,1985-1989,Male,95,0.2994
AK,1990-1994,Female,0,0.00407
AK,1990-1994,Female,5,2e-4
AK,1990-1994,Female,10,1.9e-4
AK,1990-1994,Female,15,5.9e-4
AK,1990-1994,Female,20,8e-4
AK,1990-1994,Female,25,8.4e-4
AK,1990-1994,Female,30,9.2e-4
AK,1990-1994,Female,35,0.00103
AK,1990-1994,Female,40,0.00121
AK,1990-1994,Female,45,0.00239
AK,1990-1994,Female,50,0.00344
AK,1990-1994,Female,55,0.00641
AK,1990-1994,Female,60,0.01059
AK,1990-1994,Female,65,0.01635
AK,1990-1994,Female,70,0.02676
AK,1990-1994,Female,75,0.04364
AK,1990-1994,Female,80,0.05891
AK,1990-1994,Female,85,0.09878
AK,1990-1994,Female,90,0.16027
AK,1990-1994,Female,95,0.24822
AK,1990-1994,Male,0,0.0055450000000000004
AK,1990-1994,Male,5,2.7e-4
AK,1990-1994,Male,10,5.2e-4
AK,1990-1994,Male,15,0.0017
AK,1990-1994,Male,20,0.00248
AK,1990-1994,Male,25,0.00242
AK,1990-1994,Male,30,0.00221
AK,1990-1994,Male,35,0.00234
AK,1990-1994,Male,40,0.00293
AK,1990-1994,Male,45,0.00348
AK,1990-1994,Male,50,0.00597
AK,1990-1994,Male,55,0.01012
AK,1990-1994,Male,60,0.01748
AK,1990-1994,Male,65,0.02911
AK,1990-1994,Male,70,0.0402
