state,age,n_mig,pop,rate
alabama,1,9,880,0.010227272727272727
alabama,2,19,932,0.0203862660944206
alabama,3,14,926,0.01511879049676026
alabama,4,15,1050,0.014285714285714285
alabama,5,14,1010,0.013861386138613862
alabama,6,16,1088,0.014705882352941176
alabama,7,13,1050,0.012380952380952381
alabama,8,13,1088,0.011948529411764705
alabama,9,12,986,0.012170385395537525
alabama,10,9,525,0.017142857142857144
alabama,11,12,546,0.02197802197802198
alabama,12,18,1238,0.014539579967689823
alabama,13,11,1132,0.009717314487632508
alabama,14,12,1174,0.010221465076660987
alabama,15,17,1314,0.01293759512937595
alabama,16,13,1196,0.010869565217391304
alabama,17,33,1300,0.025384615384615384
alabama,18,114,1400,0.08142857142857143
alabama,19,74,703,0.10526315789473684
alabama,20,27,1200,0.0225
alabama,21,22,1084,0.02029520295202952
alabama,22,28,1184,0.02364864864864865
alabama,23,32,1082,0.029574861367837338
alabama,24,26,994,0.026156941649899398
alabama,25,18,1014,0.01775147928994083
alabama,26,30,986,0.030425963488843813
alabama,27,28,1210,0.023140495867768594
alabama,28,29,1094,0.026508226691042046
alabama,29,27,1072,0.025186567164179104
alabama,30,38,1246,0.030497592295345103
alabama,31,39,1272,0.030660377358490566
alabama,32,20,1158,0.017271157167530225
alabama,33,25,1218,0.020525451559934318
alabama,34,22,1122,0.0196078431372549
alabama,35,21,1118,0.018783542039355994
alabama,36,19,1140,0.016666666666666666
alabama,37,14,1082,0.012939001848428836
alabama,38,18,1054,0.017077798861480076
alabama,39,14,1084,0.012915129151291513
alabama,40,19,602,0.03156146179401993
alabama,41,15,1148,0.013066202090592335
alabama,42,18,1298,0.01386748844375963
alabama,43,13,1154,0.011265164644714038
alabama,44,16,563,0.028419182948490232
alabama,45,11,1166,0.009433962264150943
alabama,46,15,1108,0.013537906137184115
alabama,47,16,1144,0.013986013986013986
alabama,48,17,1124,0.015124555160142349
alabama,49,11,615,0.01788617886178862
alabama,50,20,1346,0.014858841010401188
alabama,51,19,1394,0.013629842180774749
alabama,52,19,1208,0.015728476821192054
alabama,53,14,643,0.02177293934681182
